,country,average,std_deviation
111,Mauritania,2152477.8666666667,1284815.0229136187
117,Mongolia,1981267.96,800433.6365327646
55,Eritrea,1942175.48,831393.3804004
161,Slovenia,1874206.08,193352.0000658203
133,Oman,1871643.6533333333,1406980.752227817
92,Kuwait,1824530.6666666667,1334281.8187865866
131,North Macedonia,1822089.7333333334,260830.6981500998
91,Kosovo,1555054.6533333333,401176.5162648379
97,Lesotho,1522734.96,567300.7523240598
122,Namibia,1399063.1466666667,743312.3450235784
56,Estonia,1362121.5866666667,116146.25800025578
22,Botswana,1273755.32,680690.9421466675
180,Trinidad and Tobago,1159185.1733333333,244898.38627719096
63,Gambia,1153834.1066666667,740438.1159979976
62,Gabon,1109305.8533333333,618119.1075657973
71,Guinea-Bissau,1064849.9333333333,499651.41724380077
112,Mauritius,1009115.6666666666,249132.26874690875
43,Cyprus,839177.3333333334,257858.3106887953
50,East Timor,784272.0,290509.0365744798
144,Qatar,780581.5466666666,940637.8899389168
57,Eswatini,758797.9866666667,333402.09779627854
72,Guyana,707872.52,105109.1609124173
59,Fiji,686666.8666666667,205416.7362702
54,Equatorial Guinea,669754.8,505658.40326658083
12,Bahrain,619701.7066666667,472595.11047766806
118,Montenegro,571995.6266666667,71150.35821580324
47,Djibouti,514193.50666666665,374175.0832464979
19,Bhutan,488012.44,200978.57984347083
37,Comoros,436208.06666666665,211917.354750354
170,Suriname,419929.61333333334,121547.41187266416
102,Luxembourg,414785.9866666667,104691.49192727784
109,Malta,378108.08,61344.14804460029
103,Macao,373269.0933333333,169636.3252732766
31,Cape Verde,367093.05333333334,115731.3137126066
162,Solomon Islands,351294.49333333335,205887.12066680993
11,Bahamas,256198.48,102249.62084028822
14,Barbados,255532.56,18732.396945687724
77,Iceland,252112.81333333332,66064.38527672616
24,Brunei,244720.78666666665,131602.7989616804
107,Maldives,234608.96,135542.06316973778
17,Belize,201416.76,105127.36735436943
151,Samoa,161664.78666666665,35621.018865761755
192,Vanuatu,153726.58666666667,80839.88836267038
149,Saint Lucia,133934.4,31791.390727339665
153,Sao Tome and Principe,124698.28,52623.73224705494
68,Grenada,101359.48,10157.53703302613
150,Saint Vincent and the Grenadines,100333.49333333333,13953.075865851166
179,Tonga,91481.52,17241.71487470259
114,Micronesia (country),83408.29333333333,28816.72389184341
90,Kiribati,77345.62666666666,27872.226453592837
157,Seychelles,73753.89333333333,25256.964286339746
5,Antigua and Barbuda,69410.96,13357.109311038335
48,Dominica,66693.32,6094.9607301131655
148,Saint Kitts and Nevis,46353.92,3992.8056577475113
3,Andorra,45678.84,27573.31930779698
110,Marshall Islands,34982.17333333333,14438.748862446248
116,Monaco,28913.18666666667,5685.225505269405
100,Liechtenstein,27398.346666666668,8169.4684690858185
152,San Marino,23562.533333333333,6816.893348727697
135,Palau,14378.626666666667,3881.0377714038113
123,Nauru,8264.626666666667,2557.463892500037
184,Tuvalu,8032.96,2089.1058635668014
193,Vatican,735.6133333333333,121.15088797717355
